等级,等级名,悬赏池,入池说明,产物显示名,产物ID,饥饿值,饱和度,效果buff,原料种类数,原料槽位总数,稀有原料数,中间产物原料数,代表机器,代表配方ID,代表配方原料,综合分,分级依据,配方条数,模组,建议难度系数,建议悬赏价值备注,悬赏池文件,悬赏unitWorth
1,T1·简餐基础,通用池,分档菜池,小鸡炖蘑菇,kaleidoscope_cookery:chicken_and_mushroom_stew,6.0,8.0,温暖 8分,2,2,0,0,汤锅(灵活),flex_stockpot/chicken_and_mushroom_stew.json,生鸡肉(#c:foods/raw_chicken) + 蘑菇(#c:mushrooms),13.6,少原料基础菜,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,16
1,T1·简餐基础,通用池,非通用烤熟类,萝卜羊肉汤,kaleidoscope_cookery:lamb_and_radish_soup,6.0,8.0,寒带疾行 5分,2,2,0,0,汤锅(灵活),flex_stockpot/lamb_and_radish_soup.json,生羊肉(#c:foods/raw_mutton) + 胡萝卜(minecraft:carrot),13.6,少原料基础菜,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,26
1,T1·简餐基础,通用池,非通用烤熟类,海鲜味噌汤,kaleidoscope_cookery:seafood_miso_soup,6.0,8.0,水下呼吸 8分,2,2,0,0,汤锅(灵活),flex_stockpot/seafood_miso_soup.json,生鱼(#c:raw_fishes) + 生菜(#c:crops/lettuce),13.6,少原料基础菜,8,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,15
1,T1·简餐基础,通用池,非通用烤熟类,野菌兔肉汤,kaleidoscope_cookery:wild_mushroom_rabbit_soup,6.0,8.0,速度 8分,2,2,0,0,汤锅(灵活),flex_stockpot/wild_mushroom_rabbit_soup.json,生兔肉(minecraft:rabbit) + 蘑菇(#c:mushrooms),13.6,少原料基础菜,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,23
1,T1·简餐基础,通用池,简单烤熟/一步加工,油炸猪儿虫,kaleidoscope_cookery:fried_caterpillar,12.0,19.2,胀气 10秒,1,1,0,0,炒锅(灵活),flex_pot/fried_caterpillar.json,毛虫(#kaleidoscope_cookery:caterpillars),13.34,负面趣味菜,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,4
1,T1·简餐基础,通用池,分档菜池,糍粑,kaleidoscope_cookery:sticky_rice_cake,8.0,14.0,,1,1,0,1,炒锅(置于炉灶上),pot/cooked_rice_to_sticky_rice_cake_1.json,米饭(kaleidoscope_cookery:cooked_rice),13.3,少原料基础菜,9,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,9
1,T1·简餐基础,通用池,简单烤熟/一步加工,熟丸子,kaleidoscope_cookery:cooked_meatball,8.0,12.8,,1,1,0,1,炒锅(置于炉灶上),pot/raw_meatball_to_cooked_meatball_1.json,生丸子(kaleidoscope_cookery:raw_meatball),13.06,少原料基础菜,9,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,14
1,T1·简餐基础,通用池,分档菜池,冷切火腿片,kaleidoscope_cookery:cold_cut_ham_slices,4.0,6.4,,2,9,0,1,工作台,cold_cut_ham_slices.json,熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 碗(minecraft:bowl),12.78,低饱食简餐,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,90
1,T1·简餐基础,通用池,简单烤熟/一步加工,馒头,kaleidoscope_cookery:mantou,6.0,10.8,,1,1,0,1,蒸笼,steamer/mantou.json,面团(#c:dough),11.66,低饱食简餐,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,10
1,T1·简餐基础,通用池,分档菜池,牛皮糖,kaleidoscope_cookery:sticky_candy,6.0,12.0,,2,2,0,0,炒锅(灵活),flex_pot/sticky_candy.json,皮革(minecraft:leather) + 糖(minecraft:sugar),11.4,低饱食简餐,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,14
1,T1·简餐基础,通用池,包子链重算 unitWorth=25,水煎包,kaleidoscope_cookery:shengjian_mantou,2.0,4.0,温暖 5分,1,1,0,1,汤锅(盖盖煮制),stockpot/shengjian_mantou_count_1.json,裹馅面食(kaleidoscope_cookery:stuffed_dough_food),11.3,少原料基础菜,9,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,25
1,T1·简餐基础,通用池,非通用烤熟类,罗宋汤,kaleidoscope_cookery:borscht,6.0,8.0,胀气 3分,2,2,0,0,汤锅(灵活),flex_stockpot/borscht.json,生牛肉(#c:foods/raw_beef) + 番茄(#c:crops/tomato),11.1,低饱食简餐,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,16
1,T1·简餐基础,通用池,分档菜池,珍珠咕噜肉,kaleidoscope_cookery:sweet_and_sour_ender_pearls,9.0,,胀气 35秒,2,2,0,0,炒锅(灵活),flex_pot/sweet_and_sour_ender_pearls.json,末影珍珠(minecraft:ender_pearl) + 末影之眼(minecraft:ender_eye),11.0,负面趣味菜,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,61
1,T1·简餐基础,T1菜池,非通用烤熟类,闪亮沙拉,farmersdelight:gleaming_salad_block,,,,7,9,0,0,工作台,gleaming_salad_block.json,发光浆果(minecraft:glow_berries) + 蜜瓶(minecraft:honey_bottle) + 发光浆果(minecraft:glow_berries) + 番茄(#c:crops/tomato) + 金胡萝卜(minecraft:golden_carrot) + 甜菜根(#c:crops/beetroot) + 卷心菜(farmersdelight:cabbage) + 碗(minecraft:bowl) + 卷心菜(farmersdelight:cabbage),10.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,分档菜池,烤鸡,farmersdelight:roast_chicken_block,,,,7,9,0,1,工作台,roast_chicken_block.json,洋葱(#c:crops/onion) + 蛋(#c:eggs) + 面包(#c:foods/bread) + 胡萝卜(#c:crops/carrot) + 熟鸡肉(minecraft:cooked_chicken) + 烤马铃薯(minecraft:baked_potato) + 胡萝卜(#c:crops/carrot) + 碗(minecraft:bowl) + 烤马铃薯(minecraft:baked_potato),10.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,60
1,T1·简餐基础,通用池,分档菜池,翻糖蛛眼,kaleidoscope_cookery:fondant_spider_eye,8.0,,胀气 35秒,2,2,0,0,炒锅(灵活),flex_pot/fondant_spider_eye.json,糖(minecraft:sugar) + 蜘蛛眼(minecraft:spider_eye),10.5,少原料基础菜,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,10
1,T1·简餐基础,通用池,分档菜池,熟竹筒饭,kaleidoscope_cookery:bamboo_tube_rice,10.0,10.0,,1,1,0,0,蒸笼,steamer/bamboo_tube_rice.json,生竹筒饭(kaleidoscope_cookery:raw_bamboo_tube_rice),10.0,综合分基础,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,18
1,T1·简餐基础,通用池,简单烤熟/一步加工,米饭,farmersdelight:cooked_rice,6.0,4.8,营养 30秒,1,1,0,0,"厨锅(烹饪锅,置于炉灶上)",cooking/cooked_rice.json,稻米(#c:crops/rice),9.96,少原料基础菜,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,7
1,T1·简餐基础,通用池,简单烤熟/一步加工,牛肉饼,farmersdelight:beef_patty,4.0,6.4,,1,1,0,1,炒锅(置于炉灶上),pot/add/beef_patty.json,牛肉馅(farmersdelight:minced_beef),9.78,低饱食简餐,4,农夫乐事(万花筒机器),1.0,原料成本×1.0～1.2，铜币档,food_common_objs,13
1,T1·简餐基础,通用池,简单烤熟/一步加工,熟培根,farmersdelight:cooked_bacon,4.0,6.4,,1,1,0,1,炒锅(置于炉灶上),pot/add/cooked_bacon.json,生培根(farmersdelight:bacon),9.78,低饱食简餐,4,农夫乐事(万花筒机器),1.0,原料成本×1.0～1.2，铜币档,food_common_objs,9
1,T1·简餐基础,通用池,分档菜池,卷心菜卷,farmersdelight:cabbage_rolls,5.0,5.0,,2,2,0,0,"厨锅(烹饪锅,置于炉灶上)",cooking/cabbage_rolls.json,卷心菜(#c:crops/cabbage) + 任选其一:[生肉(#c:foods/raw_meat) | 安全生鱼(不含河豚)(#c:foods/safe_raw_fish) | 蔬菜(#c:foods/vegetable) | 蘑菇(#c:mushrooms)],9.5,低饱食简餐,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,21
1,T1·简餐基础,通用池,非通用烤熟类,河豚汤,kaleidoscope_cookery:pufferfish_soup,4.0,,芥末 10分,2,2,0,0,汤锅(灵活),flex_stockpot/pufferfish_soup.json,河豚(minecraft:pufferfish) + 生菜(#c:crops/lettuce),9.5,低饱食简餐,4,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,19
1,T1·简餐基础,通用池,非通用烤熟类,大骨汤,kaleidoscope_cookery:pork_bone_soup,6.0,8.0,活力 5分,1,1,0,0,汤锅(灵活),flex_stockpot/pork_bone_soup.json,骨头(minecraft:bone),9.1,低饱食简餐,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,4
1,T1·简餐基础,T1菜池,分档菜池,填馅南瓜,farmersdelight:stuffed_pumpkin_block,,,,6,6,0,0,"厨锅(烹饪锅,置于炉灶上)",cooking/stuffed_pumpkin_block.json,稻米(#c:crops/rice) + 洋葱(#c:crops/onion) + 棕色蘑菇(minecraft:brown_mushroom) + 马铃薯(#c:crops/potato) + 浆果(#c:foods/berry) + 蔬菜(#c:foods/vegetable)(除西瓜片(minecraft:melon_slice)),9.0,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,简单烤熟/一步加工,熟鲑鱼片,farmersdelight:cooked_salmon_slice,3.0,4.8,,1,1,0,1,炒锅(置于炉灶上),pot/add/cooked_salmon_slice.json,生鲑鱼片(farmersdelight:salmon_slice),8.96,低饱食简餐,4,农夫乐事(万花筒机器),1.0,原料成本×1.0～1.2，铜币档,food_common_objs,5
1,T1·简餐基础,通用池,简单烤熟/一步加工,熟鳕鱼片,farmersdelight:cooked_cod_slice,3.0,3.0,,1,1,0,1,炒锅(置于炉灶上),pot/add/cooked_cod_slice.json,生鳕鱼片(farmersdelight:cod_slice),8.6,低饱食简餐,4,农夫乐事(万花筒机器),1.0,原料成本×1.0～1.2，铜币档,food_common_objs,5
1,T1·简餐基础,T1菜池,非通用烤熟类,生丸子,kaleidoscope_cookery:raw_meatball,4.0,2.4,,2,3,0,0,工作台,raw_meatball.json,生肉(#c:raw_meats) + 生肉(#c:raw_meats) + 蔬菜(#c:vegetables),8.48,低饱食简餐,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,简单烤熟/一步加工,米饭,kaleidoscope_cookery:cooked_rice,6.0,12.0,,1,1,0,0,汤锅(盖盖煮制),stockpot/rice_1.json,稻米(#c:grain/rice),8.4,低饱食简餐,9,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,6
1,T1·简餐基础,T1菜池,非通用烤熟类,生意面,farmersdelight:raw_pasta,2.0,1.2,饥饿 30秒(30%),1,1,0,1,砧板,cutting/tag_dough.json,面团(#c:dough),8.24,低饱食简餐,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,分档菜池,黏液饭,kaleidoscope_cookery:slime_ball_meal,9.0,,胀气 35秒,1,1,0,0,炒锅(灵活),flex_pot/slime_ball_meal.json,粘液球(minecraft:slime_ball),8.0,负面趣味菜,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,8
1,T1·简餐基础,T1菜池,分档菜池,蜜汁火腿,farmersdelight:honey_glazed_ham_block,,,,5,9,0,2,工作台,honey_glazed_ham_block.json,甜浆果(minecraft:sweet_berries) + 蜜瓶(minecraft:honey_bottle) + 甜浆果(minecraft:sweet_berries) + 甜浆果(minecraft:sweet_berries) + 烟熏火腿(farmersdelight:smoked_ham) + 甜浆果(minecraft:sweet_berries) + 米饭(kaleidoscope_cookery:cooked_rice) + 碗(minecraft:bowl) + 米饭(kaleidoscope_cookery:cooked_rice),7.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,非通用烤熟类,牧羊人派,farmersdelight:shepherds_pie_block,,,,5,9,0,0,工作台,shepherds_pie_block.json,烤马铃薯(minecraft:baked_potato) + 奶(#c:drinks/milk) + 烤马铃薯(minecraft:baked_potato) + 熟羊肉(#c:foods/cooked_mutton) + 熟羊肉(#c:foods/cooked_mutton) + 熟羊肉(#c:foods/cooked_mutton) + 洋葱(#c:crops/onion) + 碗(minecraft:bowl) + 洋葱(#c:crops/onion),7.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,非通用烤熟类,海带寿司,farmersdelight:kelp_roll_slice,6.0,6.0,,1,1,0,0,菜板,chopping_board/add/kelp_roll_slice.json,海带寿司卷(farmersdelight:kelp_roll),7.2,低饱食简餐,2,农夫乐事(万花筒机器),1.0,原料成本×1.0～1.2，铜币档,food_common_objs,5
1,T1·简餐基础,T1菜池,非通用烤熟类,馅饼酥皮,farmersdelight:pie_crust,2.0,0.8,,2,2,0,0,工作台,pie_crust.json,小麦(#c:crops/wheat)×3 + 奶(#c:drinks/milk),7.16,低饱食简餐,2,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,简单烤熟/一步加工,蛋糕切片,farmersdelight:cake_slice,2.0,0.4,速度 20秒,1,1,0,0,菜板,chopping_board/add/cake_slice.json,蛋糕(minecraft:cake),7.08,少原料基础菜,2,农夫乐事(万花筒机器),1.0,原料成本×1.0～1.2，铜币档,food_common_objs,8
1,T1·简餐基础,通用池,分档菜池,青团,kaleidoscope_cookery:qingtuan,5.0,6.0,,1,1,0,0,蒸笼,steamer/qingtuan.json,粘液球(minecraft:slime_ball),6.7,低饱食简餐,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,10
1,T1·简餐基础,通用池,简单烤熟/一步加工,熟牛杂,kaleidoscope_cookery:cooked_cow_offal,4.0,6.4,,1,1,0,0,炒锅(置于炉灶上),pot/raw_cow_offal_to_cooked_cow_offal_1.json,生牛杂(kaleidoscope_cookery:raw_cow_offal),6.28,低饱食简餐,10,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,7
1,T1·简餐基础,通用池,简单烤熟/一步加工,熟切制小肉,kaleidoscope_cookery:cooked_cut_small_meats,4.0,6.4,,1,1,0,0,炒锅(置于炉灶上),pot/raw_cut_small_meats_to_cooked_cut_small_meats_1.json,生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),6.28,低饱食简餐,11,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,5
1,T1·简餐基础,通用池,简单烤熟/一步加工,熟五花肉,kaleidoscope_cookery:cooked_pork_belly,4.0,6.4,,1,1,0,0,炒锅(置于炉灶上),pot/raw_pork_belly_to_cooked_pork_belly_1.json,生五花肉(kaleidoscope_cookery:raw_pork_belly),6.28,低饱食简餐,10,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,10
1,T1·简餐基础,T1菜池,非通用烤熟类,苹果派,farmersdelight:apple_pie,,,,4,4,0,0,工作台,apple_pie.json,小麦(#c:crops/wheat)×3 + 苹果(minecraft:apple)×3 + 糖(minecraft:sugar)×2 + 馅饼酥皮(farmersdelight:pie_crust),6.0,简单加工/无食物数据,2,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,非通用烤熟类,巧克力派,farmersdelight:chocolate_pie,,,,4,4,0,0,工作台,chocolate_pie.json,可可豆(minecraft:cocoa_beans)×3 + 奶(#c:drinks/milk)×3 + 糖(minecraft:sugar)×2 + 馅饼酥皮(farmersdelight:pie_crust),6.0,简单加工/无食物数据,3,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,厨锅,farmersdelight:cooking_pot,,,,4,4,0,0,工作台,cooking_pot.json,红砖(minecraft:brick)×2 + 木锹(minecraft:wooden_shovel) + 铁锭(#c:ingots/iron)×5 + 水桶(#c:buckets/water),6.0,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,有机堆肥,farmersdelight:organic_compost,,,,4,9,0,0,工作台,organic_compost_from_rotten_flesh.json,泥土(minecraft:dirt) + 腐肉(minecraft:rotten_flesh) + 腐肉(minecraft:rotten_flesh) + 草秆(farmersdelight:straw) + 草秆(farmersdelight:straw) + 骨粉(minecraft:bone_meal) + 骨粉(minecraft:bone_meal) + 骨粉(minecraft:bone_meal) + 骨粉(minecraft:bone_meal),6.0,简单加工/无食物数据,2,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,非通用烤熟类,寿司拼盘,farmersdelight:rice_roll_medley_block,,,,4,9,0,1,工作台,rice_roll_medley_block.json,海带寿司(farmersdelight:kelp_roll_slice) + 海带寿司(farmersdelight:kelp_roll_slice) + 海带寿司(farmersdelight:kelp_roll_slice) + 鲑鱼寿司(farmersdelight:salmon_roll) + 鲑鱼寿司(farmersdelight:salmon_roll) + 鲑鱼寿司(farmersdelight:salmon_roll) + 鳕鱼寿司(farmersdelight:cod_roll) + 碗(minecraft:bowl) + 鳕鱼寿司(farmersdelight:cod_roll),6.0,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,石磨,kaleidoscope_cookery:millstone,,,,4,4,0,0,工作台,millstone.json,木栅栏(#c:fences/wooden) + 木棍(minecraft:stick) + 砂轮(minecraft:grindstone) + 平滑石头(minecraft:smooth_stone)×3,6.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,稻草人,kaleidoscope_cookery:scarecrow,,,,4,4,0,0,工作台,scarecrow.json,草帽(#kaleidoscope_cookery:straw_hat) + 木棍(minecraft:stick)×2 + 南瓜(minecraft:pumpkin) + 稻草捆(#kaleidoscope_cookery:straw_bale),6.0,简单加工/无食物数据,1,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,蛋糕,minecraft:cake,,,,4,4,0,0,工作台,cake_from_milk_bottle.json,奶(#c:drinks/milk)×3 + 糖(minecraft:sugar)×2 + 蛋(#c:eggs) + 小麦(#c:crops/wheat)×3,6.0,简单加工/无食物数据,2,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,非通用烤熟类,南瓜派,minecraft:pumpkin_pie,,,,4,4,0,1,工作台,pumpkin_pie_from_pie_crust.json,南瓜片(farmersdelight:pumpkin_slice)×4 + 蛋(#c:eggs) + 糖(minecraft:sugar) + 馅饼酥皮(farmersdelight:pie_crust),6.0,简单加工/无食物数据,2,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,分档菜池,兔肉煲,minecraft:rabbit_stew,,,,4,4,0,0,"厨锅(烹饪锅,置于炉灶上)",cooking/rabbit_stew.json,马铃薯(#c:crops/potato) + 生兔肉(minecraft:rabbit) + 胡萝卜(#c:crops/carrot) + 任选其一:[棕色蘑菇(minecraft:brown_mushroom) | 红色蘑菇(minecraft:red_mushroom)],6.0,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,29
1,T1·简餐基础,通用池,简单烤熟/一步加工,煎蛋,kaleidoscope_cookery:fried_egg,4.0,4.0,,1,1,0,0,炒锅(置于炉灶上),pot/egg_to_fried_egg_1.json,蛋(#c:eggs),5.8,低饱食简餐,12,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,6
1,T1·简餐基础,排除,非食用,番茄酱,farmersdelight:tomato_sauce,4.0,3.2,,1,1,0,0,动力搅拌(Create),integration/create/mixing/tomato_sauce_from_mixing.json,番茄(#c:crops/tomato),5.64,低饱食简餐,2,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,通用池,简单烤熟/一步加工,熟羊排,kaleidoscope_cookery:cooked_lamb_chops,3.0,4.8,,1,1,0,0,炒锅(置于炉灶上),pot/raw_lamb_chops_to_cooked_lamb_chops_1.json,生羊排(kaleidoscope_cookery:raw_lamb_chops),5.46,低饱食简餐,10,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,10
1,T1·简餐基础,通用池,简单烤熟/一步加工,熟鸡肉丁,farmersdelight:cooked_chicken_cuts,3.0,3.6,,1,1,0,0,炒锅(置于炉灶上),pot/add/cooked_chicken_cuts.json,生鸡肉丁(farmersdelight:chicken_cuts),5.22,低饱食简餐,4,农夫乐事(万花筒机器),1.0,原料成本×1.0～1.2，铜币档,food_common_objs,5
1,T1·简餐基础,通用池,简单烤熟/一步加工,南瓜片,farmersdelight:pumpkin_slice,3.0,1.8,,1,1,0,0,菜板,chopping_board/add/pumpkin_slice.json,南瓜(minecraft:pumpkin),4.86,低饱食简餐,2,农夫乐事(万花筒机器),1.0,原料成本×1.0～1.2，铜币档,food_common_objs,5
1,T1·简餐基础,排除,非食用,粗布告示牌,farmersdelight:canvas_sign,,,,3,3,0,0,工作台,canvas_sign.json,木板(#minecraft:planks)×4 + 粗布(farmersdelight:canvas)×2 + 木棍(minecraft:stick),4.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,排除,非食用,悬挂式粗布告示牌,farmersdelight:hanging_canvas_sign,,,,3,3,0,0,工作台,hanging_canvas_sign.json,锁链(minecraft:chain)×2 + 原木(#minecraft:logs)×4 + 粗布(farmersdelight:canvas)×2,4.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
1,T1·简餐基础,T1菜池,分档菜池,马食,farmersdelight:horse_feed,,,,3,4,0,0,工作台,horse_feed.json,任选其一:[干草块(minecraft:hay_block) | 稻穗捆(farmersdelight:rice_bale)] + 苹果(minecraft:apple) + 苹果(minecraft:apple) + 金胡萝卜(minecraft:golden_carrot),4.5,简单加工/无食物数据,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,,
