等级,等级名,悬赏池,产物显示名,产物ID,饥饿值,效果buff,原料成本合计_铜币,难度系数,增益系数,通用池系数,理论价值,建议unitWorth_铜币,建议数量min,建议数量max,单次支付min,单次支付max,含猜想原料,计算过程,代表配方原料,模组,悬赏池文件,计价修正说明,数据同步来源
1,T1·简餐基础,T2菜池,仰望星空派,kaleidoscope_cookery:stargazy_pie,13.0,胀气 30秒、霉运 3分,37,1.15,0.85,1.0,36.17,35,2,8,70,280,是,原料合计37 × T1×1.15 × 负面×0.85 = 36.17 → ceil → 37；明细: #c:raw_fishes=7(已定义) + minecraft:pumpkin_pie=30(猜想),生鱼(#c:raw_fishes) + 南瓜派(minecraft:pumpkin_pie),万花筒烹饪,food_t2_objs,与悬赏池同步 unitWorth 37→35,bounty_pools JSON
1,T1·简餐基础,T1菜池,生丸子,kaleidoscope_cookery:raw_meatball,4.0,,29,1.15,1.0,1.0,33.35,34,4,24,136,816,是,原料合计29 × T1×1.15 × 无增益×1.0 = 33.35 → ceil → 34；明细: #c:raw_meats=12(缺省猜想) + #c:raw_meats=12(缺省猜想) + #c:vegetables=5(猜想),生肉(#c:raw_meats) + 生肉(#c:raw_meats) + 蔬菜(#c:vegetables),万花筒烹饪,,,
1,T1·简餐基础,通用池,番茄拼盘,kaleidoscope_cookery:tomato_platter,,,32,1.05,1.0,1.0,34,34,1,6,34,204,,5×番茄6+碗2=32 ×1.05 → 34,,,food_common_objs,整盘/组合链重算,bounty_pools JSON 补录
1,T1·简餐基础,通用池,夹蛋三明治,farmersdelight:egg_sandwich,8.0,,28,1.15,1.0,1.0,32.2,33,2,12,66,396,是,原料合计28 × T1×1.15 × 无增益×1.0 = 32.20 → ceil → 33；明细: #c:foods/bread=12(猜想) + #c:foods/cooked_egg=8(缺省猜想(默认8)) + #c:foods/cooked_egg=8(缺省猜想(默认8)),面包(#c:foods/bread) + 熟蛋(#c:foods/cooked_egg) + 熟蛋(#c:foods/cooked_egg),农夫乐事,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,T1菜池,西瓜片,minecraft:melon_slice,,,25,1.15,1.0,1.0,28.75,29,4,24,116,696,否,原料合计25 × T1×1.15 × 无增益×1.0 = 28.75 → ceil → 29；明细: minecraft:melon=25(已定义),西瓜(minecraft:melon),农夫乐事,,,
1,T1·简餐基础,通用池,兔肉煲,minecraft:rabbit_stew,,,25,1.15,1.0,1.0,28.75,29,2,12,58,348,是,原料合计25 × T1×1.15 × 无增益×1.0 = 28.75 → ceil → 29；明细: #c:crops/potato=4(猜想) + minecraft:rabbit=12(猜想) + #c:crops/carrot=4(猜想) + minecraft:brown_mushroom=5(猜想),马铃薯(#c:crops/potato) + 生兔肉(minecraft:rabbit) + 胡萝卜(#c:crops/carrot) + 任选其一:[棕色蘑菇(minecraft:brown_mushroom) | 红色蘑菇(minecraft:red_mushroom)],农夫乐事,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,苹果拼盘,kaleidoscope_cookery:apple_platter,,,26,1.05,1.0,1.0,28,28,1,6,28,168,,4×苹果6+碗2=26 ×1.05 → 28,,,food_common_objs,整盘/组合链重算,bounty_pools JSON 补录
1,T1·简餐基础,通用池,珍珠咕噜肉,kaleidoscope_cookery:sweet_and_sour_ender_pearls,9.0,胀气 35秒,28,1.15,0.85,1.0,27.37,28,2,12,56,336,是,原料合计28 × T1×1.15 × 负面×0.85 = 27.37 → ceil → 28；明细: minecraft:ender_pearl=20(猜想) + minecraft:ender_eye=8(缺省猜想(默认8)),末影珍珠(minecraft:ender_pearl) + 末影之眼(minecraft:ender_eye),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,萝卜羊肉汤,kaleidoscope_cookery:lamb_and_radish_soup,6.0,寒带疾行 5分,19,1.15,1.15,1.0,25.13,26,2,12,52,312,否,原料合计19 × T1×1.15 × 轻度×1.15 = 25.13 → ceil → 26；明细: #c:foods/raw_mutton=15(已定义) + minecraft:carrot=4(已定义),生羊肉(#c:foods/raw_mutton) + 胡萝卜(minecraft:carrot),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,大骨汤,farmersdelight:bone_broth,8.0,营养 1分,17,1.15,1.15,1.0,22.48,23,2,12,46,276,是,原料合计17 × T1×1.15 × 轻度×1.15 = 22.48 → ceil → 23；明细: #c:bones=8(缺省猜想(默认8)) + minecraft:glow_berries=9(已定义),骨头(#c:bones) + 任选其一:[发光浆果(minecraft:glow_berries) | 蘑菇(#c:mushrooms) | 垂根(minecraft:hanging_roots) | 发光地衣(minecraft:glow_lichen)],农夫乐事,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,牛丸汤,kaleidoscope_cookery:beef_meatball_soup,6.0,温暖 8分,17,1.15,1.15,1.0,22.48,23,2,12,46,276,是,原料合计17 × T1×1.15 × 轻度×1.15 = 22.48 → ceil → 23；明细: kaleidoscope_cookery:raw_meatball=12(猜想) + #c:crops/lettuce=5(缺省猜想),生丸子(kaleidoscope_cookery:raw_meatball) + 生菜(#c:crops/lettuce),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,野菌兔肉汤,kaleidoscope_cookery:wild_mushroom_rabbit_soup,6.0,速度 8分,17,1.15,1.15,1.0,22.48,23,2,12,46,276,是,原料合计17 × T1×1.15 × 轻度×1.15 = 22.48 → ceil → 23；明细: minecraft:rabbit=12(猜想) + #c:mushrooms=5(猜想),生兔肉(minecraft:rabbit) + 蘑菇(#c:mushrooms),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,T1菜池,蛋糕,minecraft:cake,,,20,1.15,1.0,1.0,23.0,23,4,24,92,552,是,原料合计20 × T1×1.15 × 无增益×1.0 = 23.00 → ceil → 23；明细: #c:drinks/milk=6(猜想) + minecraft:sugar=4(已定义) + #c:eggs=5(已定义) + #c:crops/wheat=5(猜想),奶(#c:drinks/milk)×3 + 糖(minecraft:sugar)×2 + 蛋(#c:eggs) + 小麦(#c:crops/wheat)×3,农夫乐事,,,
1,T1·简餐基础,通用池,鲑鱼寿司,farmersdelight:salmon_roll,7.0,,19,1.15,1.0,1.0,21.85,22,2,12,44,264,是,原料合计19 × T1×1.15 × 无增益×1.0 = 21.85 → ceil → 22；明细: farmersdelight:salmon_slice=6(猜想) + farmersdelight:salmon_slice=6(猜想) + kaleidoscope_cookery:cooked_rice=7(猜想),生鲑鱼片(farmersdelight:salmon_slice) + 生鲑鱼片(farmersdelight:salmon_slice) + 米饭(kaleidoscope_cookery:cooked_rice),农夫乐事,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,卷心菜卷,farmersdelight:cabbage_rolls,5.0,,18,1.15,1.0,1.0,20.7,21,2,12,42,252,是,原料合计18 × T1×1.15 × 无增益×1.0 = 20.70 → ceil → 21；明细: #c:crops/cabbage=6(已定义) + #c:foods/raw_meat=12(缺省猜想),卷心菜(#c:crops/cabbage) + 任选其一:[生肉(#c:foods/raw_meat) | 安全生鱼(不含河豚)(#c:foods/safe_raw_fish) | 蔬菜(#c:foods/vegetable) | 蘑菇(#c:mushrooms)],农夫乐事,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,鳕鱼寿司,farmersdelight:cod_roll,7.0,,17,1.15,1.0,1.0,19.55,20,3,16,60,320,是,原料合计17 × T1×1.15 × 无增益×1.0 = 19.55 → ceil → 20；明细: farmersdelight:cod_slice=5(猜想) + farmersdelight:cod_slice=5(猜想) + kaleidoscope_cookery:cooked_rice=7(猜想),生鳕鱼片(farmersdelight:cod_slice) + 生鳕鱼片(farmersdelight:cod_slice) + 米饭(kaleidoscope_cookery:cooked_rice),农夫乐事,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,南瓜片,farmersdelight:pumpkin_slice,3.0,,17,1.15,1.0,0.95,18.57,19,3,16,57,304,否,原料合计17 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 18.57 → ceil → 19；明细: minecraft:pumpkin=17(已定义),南瓜(minecraft:pumpkin),农夫乐事(万花筒机器),food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,土豆炖牛肉,kaleidoscope_cookery:braised_beef_with_potatoes,6.0,温暖 8分,14,1.15,1.15,1.0,18.51,19,3,16,57,304,否,原料合计14 × T1×1.15 × 轻度×1.15 = 18.51 → ceil → 19；明细: #c:foods/raw_beef=10(已定义) + minecraft:potato=4(已定义),生牛肉(#c:foods/raw_beef) + 马铃薯(minecraft:potato),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,河豚汤,kaleidoscope_cookery:pufferfish_soup,4.0,芥末 10分,15,1.15,1.08,1.0,18.63,19,3,16,57,304,是,原料合计15 × T1×1.15 × 其它×1.08 = 18.63 → ceil → 19；明细: minecraft:pufferfish=10(猜想) + #c:crops/lettuce=5(缺省猜想),河豚(minecraft:pufferfish) + 生菜(#c:crops/lettuce),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,旋风烤肉塔,kaleidoscope_cookery:shawarma_spit,,,16,1.15,1.0,1.0,18.4,19,3,16,57,304,是,原料合计16 × T1×1.15 × 无增益×1.0 = 18.40 → ceil → 19；明细: minecraft:chain=8(缺省猜想(默认8)) + minecraft:campfire=8(缺省猜想(默认8)),锁链(minecraft:chain)×4 + 营火(minecraft:campfire)×2,万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,T1菜池,生培根,farmersdelight:bacon,2.0,,15,1.15,1.0,1.0,17.25,18,4,24,72,432,否,原料合计15 × T1×1.15 × 无增益×1.0 = 17.25 → ceil → 18；明细: minecraft:porkchop=15(已定义),生猪排(minecraft:porkchop),农夫乐事,,,
1,T1·简餐基础,通用池,熟竹筒饭,kaleidoscope_cookery:bamboo_tube_rice,10.0,,12,1.15,1.0,1.0,13.8,18,3,16,54,288,是,原料合计12 × T1×1.15 × 无增益×1.0 = 13.80 → ceil → 14；明细: kaleidoscope_cookery:raw_bamboo_tube_rice=12(缺省猜想),生竹筒饭(kaleidoscope_cookery:raw_bamboo_tube_rice),万花筒烹饪,food_common_objs,与悬赏池同步 unitWorth 14→18,bounty_pools JSON
1,T1·简餐基础,T1菜池,生羊排,kaleidoscope_cookery:raw_lamb_chops,1.0,,15,1.15,1.0,1.0,17.25,18,4,24,72,432,否,原料合计15 × T1×1.15 × 无增益×1.0 = 17.25 → ceil → 18；明细: minecraft:mutton=15(已定义),生羊肉(minecraft:mutton),万花筒烹饪,,,
1,T1·简餐基础,T1菜池,生五花肉,kaleidoscope_cookery:raw_pork_belly,2.0,,15,1.15,1.0,1.0,17.25,18,4,24,72,432,否,原料合计15 × T1×1.15 × 无增益×1.0 = 17.25 → ceil → 18；明细: minecraft:porkchop=15(已定义),生猪排(minecraft:porkchop),万花筒烹饪,,,
1,T1·简餐基础,通用池,西瓜拼盘,kaleidoscope_cookery:watermelon_platter,,,17,1.05,1.0,1.0,18,18,1,6,18,108,,3×西瓜片5+碗2=17 ×1.05 → 18,,,food_common_objs,整盘/组合链重算,bounty_pools JSON 补录
1,T1·简餐基础,通用池,熟羊肉,minecraft:cooked_mutton,,,15,1.15,1.0,0.95,16.39,17,3,16,51,272,否,原料合计15 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 16.39 → ceil → 17；明细: minecraft:mutton=15(已定义),生羊肉(minecraft:mutton),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,熟猪排,minecraft:cooked_porkchop,,,15,1.15,1.0,0.95,16.39,17,3,16,51,272,否,原料合计15 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 16.39 → ceil → 17；明细: minecraft:porkchop=15(已定义),生猪排(minecraft:porkchop),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,罗宋汤,kaleidoscope_cookery:borscht,6.0,胀气 3分,16,1.15,0.85,1.0,15.64,16,3,16,48,256,否,原料合计16 × T1×1.15 × 负面×0.85 = 15.64 → ceil → 16；明细: #c:foods/raw_beef=10(已定义) + #c:crops/tomato=6(已定义),生牛肉(#c:foods/raw_beef) + 番茄(#c:crops/tomato),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,小鸡炖蘑菇,kaleidoscope_cookery:chicken_and_mushroom_stew,6.0,温暖 8分,12,1.15,1.15,1.0,15.87,16,3,16,48,256,是,原料合计12 × T1×1.15 × 轻度×1.15 = 15.87 → ceil → 16；明细: #c:foods/raw_chicken=7(已定义) + #c:mushrooms=5(猜想),生鸡肉(#c:foods/raw_chicken) + 蘑菇(#c:mushrooms),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,疙瘩汤,kaleidoscope_cookery:dough_drop_soup,8.0,温暖 1分20秒,11,1.15,1.15,1.0,14.55,15,3,16,45,240,是,原料合计11 × T1×1.15 × 轻度×1.15 = 14.55 → ceil → 15；明细: #c:crops/lettuce=5(缺省猜想) + #c:flour=6(猜想(模糊)),生菜(#c:crops/lettuce) + 面粉(#c:flour),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,海鲜味噌汤,kaleidoscope_cookery:seafood_miso_soup,6.0,水下呼吸 8分,12,1.15,1.08,1.0,14.9,15,3,16,45,240,是,原料合计12 × T1×1.15 × 其它×1.08 = 14.90 → ceil → 15；明细: #c:raw_fishes=7(已定义) + #c:crops/lettuce=5(缺省猜想),生鱼(#c:raw_fishes) + 生菜(#c:crops/lettuce),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,熟鸡肉丁,farmersdelight:cooked_chicken_cuts,3.0,,12,1.15,1.0,0.95,13.11,14,3,16,42,224,是,原料合计12 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 13.11 → ceil → 14；明细: farmersdelight:chicken_cuts=12(缺省猜想),生鸡肉丁(farmersdelight:chicken_cuts),农夫乐事(万花筒机器),food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,海带寿司,farmersdelight:kelp_roll_slice,6.0,,12,1.15,1.0,1.0,13.8,14,3,16,42,224,是,原料合计12 × T1×1.15 × 无增益×1.0 = 13.80 → ceil → 14；明细: farmersdelight:kelp_roll=12(猜想),海带寿司卷(farmersdelight:kelp_roll),农夫乐事(万花筒机器),food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,熟切制小肉,kaleidoscope_cookery:cooked_cut_small_meats,4.0,,12,1.15,1.0,0.95,13.11,14,3,16,42,224,是,原料合计12 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 13.11 → ceil → 14；明细: kaleidoscope_cookery:raw_cut_small_meats=12(缺省猜想),生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,熟羊排,kaleidoscope_cookery:cooked_lamb_chops,3.0,,12,1.15,1.0,0.95,13.11,14,3,16,42,224,是,原料合计12 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 13.11 → ceil → 14；明细: kaleidoscope_cookery:raw_lamb_chops=12(猜想),生羊排(kaleidoscope_cookery:raw_lamb_chops),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,熟丸子,kaleidoscope_cookery:cooked_meatball,8.0,,12,1.15,1.0,0.95,13.11,14,3,16,42,224,是,原料合计12 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 13.11 → ceil → 14；明细: kaleidoscope_cookery:raw_meatball=12(猜想),生丸子(kaleidoscope_cookery:raw_meatball),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,熟五花肉,kaleidoscope_cookery:cooked_pork_belly,4.0,,12,1.15,1.0,0.95,13.11,14,3,16,42,224,是,原料合计12 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 13.11 → ceil → 14；明细: kaleidoscope_cookery:raw_pork_belly=12(缺省猜想),生五花肉(kaleidoscope_cookery:raw_pork_belly),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,牛皮糖,kaleidoscope_cookery:sticky_candy,6.0,,12,1.15,1.0,1.0,14,14,3,16,42,224,是,皮革8+糖4=12 ×1.15 → 14,皮革(minecraft:leather) + 糖(minecraft:sugar),万花筒烹饪,food_common_objs,整盘/组合链重算,bounty_pools JSON
1,T1·简餐基础,通用池,熟兔肉,minecraft:cooked_rabbit,,,12,1.15,1.0,0.95,13.11,14,3,16,42,224,是,原料合计12 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 13.11 → ceil → 14；明细: minecraft:rabbit=12(猜想),生兔肉(minecraft:rabbit),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,牛肉饼,farmersdelight:beef_patty,4.0,,11,1.15,1.0,0.95,12.02,13,3,16,39,208,是,原料合计11 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 12.02 → ceil → 13；明细: farmersdelight:minced_beef=11(猜想),牛肉馅(farmersdelight:minced_beef),农夫乐事(万花筒机器),food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,T1菜池,馅饼酥皮,farmersdelight:pie_crust,2.0,,11,1.15,1.0,1.0,12.65,13,4,24,52,312,是,原料合计11 × T1×1.15 × 无增益×1.0 = 12.65 → ceil → 13；明细: #c:crops/wheat=5(猜想) + #c:drinks/milk=6(猜想),小麦(#c:crops/wheat)×3 + 奶(#c:drinks/milk),农夫乐事,,,
1,T1·简餐基础,T1菜池,牛肉馅,farmersdelight:minced_beef,2.0,,10,1.15,1.0,1.0,11.5,12,4,24,48,288,否,原料合计10 × T1×1.15 × 无增益×1.0 = 11.50 → ceil → 12；明细: minecraft:beef=10(已定义),生牛肉(minecraft:beef),农夫乐事,,,
1,T1·简餐基础,通用池,蛋炒饭,kaleidoscope_cookery:egg_fried_rice,8.0,,10,1.15,1.0,1.0,11.5,12,3,16,36,192,是,原料合计10 × T1×1.15 × 无增益×1.0 = 11.50 → ceil → 12；明细: #c:eggs=5(已定义) + #c:foods/cooked_rice=5(缺省猜想),蛋(#c:eggs) + 熟米饭(#c:foods/cooked_rice),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,花茶,kaleidoscope_cookery:flower_tea,,,,,,,,12,3,16,36,192,,与悬赏池 food_common_objs unitWorth=12 同步,,,food_common_objs,补录,bounty_pools JSON 补录
1,T1·简餐基础,T1菜池,生牛杂,kaleidoscope_cookery:raw_cow_offal,2.0,,10,1.15,1.0,1.0,11.5,12,4,24,48,288,否,原料合计10 × T1×1.15 × 无增益×1.0 = 11.50 → ceil → 12；明细: minecraft:beef=10(已定义),生牛肉(minecraft:beef),万花筒烹饪,,,
1,T1·简餐基础,通用池,熟牛杂,kaleidoscope_cookery:cooked_cow_offal,4.0,,10,1.15,1.0,0.95,10.92,11,3,16,33,176,是,原料合计10 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 10.92 → ceil → 11；明细: kaleidoscope_cookery:raw_cow_offal=10(猜想),生牛杂(kaleidoscope_cookery:raw_cow_offal),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,饺子,kaleidoscope_cookery:dumpling,8.0,温暖 1分20秒,8,1.15,1.15,1.0,10.58,11,3,16,33,176,是,原料合计8 × T1×1.15 × 轻度×1.15 = 10.58 → ceil → 11；明细: kaleidoscope_cookery:stuffed_dough_food=8(缺省猜想(默认8)),裹馅面食(kaleidoscope_cookery:stuffed_dough_food),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,馅饼,kaleidoscope_cookery:meat_pie,8.0,温暖 1分20秒,8,1.15,1.15,1.0,10.58,11,3,16,33,176,是,原料合计8 × T1×1.15 × 轻度×1.15 = 10.58 → ceil → 11；明细: kaleidoscope_cookery:stuffed_dough_food=8(缺省猜想(默认8)),裹馅面食(kaleidoscope_cookery:stuffed_dough_food),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,牛排,minecraft:cooked_beef,,,10,1.15,1.0,0.95,10.92,11,3,16,33,176,否,原料合计10 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 10.92 → ceil → 11；明细: minecraft:beef=10(已定义),生牛肉(minecraft:beef),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,大麦茶,kaleidoscope_cookery:barley_tea,,,,,,,,10,4,24,40,240,,与悬赏池 food_common_objs unitWorth=10 同步,,,food_common_objs,补录,bounty_pools JSON 补录
1,T1·简餐基础,通用池,翻糖蛛眼,kaleidoscope_cookery:fondant_spider_eye,8.0,胀气 35秒,10,1.15,0.85,1.0,9.78,10,4,24,40,240,是,原料合计10 × T1×1.15 × 负面×0.85 = 9.78 → ceil → 10；明细: minecraft:sugar=4(已定义) + minecraft:spider_eye=6(猜想),糖(minecraft:sugar) + 蜘蛛眼(minecraft:spider_eye),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,馒头,kaleidoscope_cookery:mantou,6.0,,8,1.15,1.0,1.0,10,10,3,16,30,160,是,面团8×1.15 → 10,面团(#c:dough),万花筒烹饪,food_common_objs,整盘/组合链重算,bounty_pools JSON
1,T1·简餐基础,通用池,青团,kaleidoscope_cookery:qingtuan,5.0,,8,1.15,1.0,1.0,10,10,3,16,30,160,是,粘液球8×1.15 → 10,粘液球(minecraft:slime_ball),万花筒烹饪,food_common_objs,整盘/组合链重算,bounty_pools JSON
